ID_Testeur,Date_Test,Scénario_ID,Commande_Proferée,Tache_Accomplie,Tps_Execution_Sec,Sortie_Assistant,Difficulte_Score_1_5,Notes_Observateur,Feedback_Qualitatif_Testeur
T_3CC3D7A3,2025-07-24 09:05:12,S_0724_0905,bonjour,True,0.45,"Salut ! Comment puis-je vous aider ?",1,"Réponse instantanée","Correct"
T_A1B2C3,2025-07-24 09:15:22,S_0724_0915,ouvre youtube,False,1.23,"Commande non reconnue",2,"Reconnaissance échouée","Pourquoi ça ne marche pas ?"
T_X7Y8Z9,2025-07-24 09:30:45,S_0724_0930,quelle heure est-il,True,0.67,"Il est 09:30",1,"Précis","Utile"
T_Q1W2E3,2025-07-24 09:45:18,S_0724_0945,éteins l'ordi,False,0.89,"Commande non reconnue",3,"Mot-clé incomplet","Doit être plus précis"
T_R4T5Y6,2025-07-24 10:00:33,S_0724_1005,ouvre gmail,True,1.12,"Ouverture de Gmail",2,"Succès","Satisfait"
T_U7I8O9,2025-07-24 10:15:44,S_0724_1015,meteo,False,0.76,"Commande non reconnue",2,"Orthographe incorrecte","Frustrant"
T_P0L9K8,2025-07-24 10:30:12,S_0724_1030,github,True,1.45,"Ouverture de GitHub",2,"Reconnaissance partielle","Marche mais lent"
T_J7H6G5,2025-07-24 10:45:30,S_0724_1045,au revoir,True,0.34,"À bientôt !",1,"Fermeture propre","Parfait"
T_V3B4N5,2025-07-24 11:00:18,S_0724_1100,date aujourd'hui,False,0.56,"Commande non reconnue",3,"Formulation incorrecte","Pas intuitif"
T_M6J7K8,2025-07-24 11:15:33,S_0724_1115,ouvre word,True,2.12,"Ouverture de Word",2,"Temps de lancement","Correct"
T_Z1X2C3,2025-07-24 11:30:45,S_0724_1130,appel video,False,0.78,"Commande non reconnue",3,"Terme trop générique","Doit préciser"
T_L9P8O7,2025-07-24 11:45:10,S_0724_1145,volume plus,False,0.67,"Commande non reconnue",2,"Syntaxe incorrecte","Pas clair"
T_F4G5H6,2025-07-24 12:00:22,S_0724_1200,explorateur fichiers,False,1.23,"Commande non reconnue",3,"Trop long","Devrait accepter"
T_D7S8A9,2025-07-24 12:15:35,S_0724_1215,redémarre,False,0.45,"Commande non reconnue",4,"Privilèges nécessaires","Compréhensible"
T_E1R2T3,2025-07-24 12:30:44,S_0724_1230,batterie,True,1.56,"Batterie: 78%",2,"Info utile","Pratique"
T_K4L5M6,2025-07-24 12:45:18,S_0724_1245,instagram,True,3.45,"Ouverture Instagram",3,"Réseau lent","Acceptable"
T_N7B8V9,2025-07-24 13:00:33,S_0724_1300,capture écran,True,1.78,"Capture sauvegardée",2,"Fonctionne","Bon"
T_W2Q3E4,2025-07-24 13:15:22,S_0724_1315,excel,True,4.56,"Ouverture Excel",3,"Long démarrage","Normal"
T_Y5U6I7,2025-07-24 13:30:45,S_0724_1330,silence,False,0.34,"Commande non reconnue",2,"Mot-clé différent","Devrait dire 'muet'"
T_O8P9A0,2025-07-24 13:45:10,S_0724_1345,plein écran,True,0.89,"Plein écran activé",2,"Réponse instantanée","Bien"
T_T1R2E3,2025-07-24 14:00:33,S_0724_1400,minimiser,False,0.56,"Commande non reconnue",3,"Terme incomplet","Doit préciser"
T_G4H5J6,2025-07-24 14:15:18,S_0724_1415,suivant,True,0.67,"Piste suivante",2,"Média requis","OK"
T_B7V8C9,2025-07-24 14:30:45,S_0724_1430,recule,True,0.78,"Recul de 10s",2,"Fonction vidéo","Correct"
T_M1N2B3,2025-07-24 14:45:22,S_0724_1445,twitter,True,2.34,"Ouverture Twitter",3,"Réseau saturé","Lent"
T_Q4W5E6,2025-07-24 15:00:33,S_0724_1505,CPU,False,0.89,"Commande non reconnue",3,"Trop technique","Doit reformuler"
T_K7L8P9,2025-07-24 15:15:18,S_0724_1515,powerpoint,True,5.67,"Ouverture PowerPoint",3,"Long chargement","Normal"
T_Z1X2Y3,2025-07-24 15:30:45,S_0724_1530,nouvel onglet,True,0.45,"Nouvel onglet",1,"Rapide","Parfait"
T_V4F5G6,2025-07-24 15:45:10,S_0724_1545,teams,True,8.90,"Lancement Teams",4,"Trop long","A améliorer"
T_H7J8K9,2025-07-24 16:00:33,S_0724_1605,terminal,True,1.23,"Terminal ouvert",3,"Pour experts","OK"
T_D1S2A3,2025-07-24 16:15:18,S_0724_1615,musique,False,0.67,"Commande non reconnue",2,"Trop vague","Préciser"
T_F4G5H6,2025-07-24 16:30:45,S_0724_1630,stop musique,False,0.56,"Commande non reconnue",2,"Syntaxe incorrecte","Dire 'arrête musique'"
T_C7V8B9,2025-07-24 16:45:22,S_0724_1645,précédent,True,0.78,"Piste précédente",2,"Média requis","Bien"
T_E1W2R3,2025-07-25 09:05:33,S_0725_0905,ralentir,False,0.89,"Commande non reconnue",3,"Terme incorrect","Dire 'moins vite'"
